Date,Product_ID,Market_Price,Base_Price,Quantity_Demanded
2024-06-21,1,812.95,500.0,90
2024-06-22,1,819.77,500.0,90
2024-06-23,1,825.31,500.0,88
2024-06-24,1,841.85,530.85,85
2024-06-25,1,842.11,500.0,85
2024-06-26,1,871.18,526.18,87
2024-06-27,1,865.89,500.0,86
2024-06-28,1,920.29,586.29,80
2024-06-29,1,932.8,552.8,84
2024-06-30,1,915.66,526.66,82
2024-07-01,1,894.24,587.24,83
2024-07-02,1,903.89,511.89,85
2024-07-03,1,899.42,500.0,83
2024-07-04,1,913.7,524.7,85
2024-07-05,1,923.17,500.0,88
2024-07-06,1,921.71,507.71,83
2024-07-07,1,904.78,500.78,83
2024-07-08,1,874.48,500.0,87
2024-07-09,1,865.55,500.0,85
2024-07-10,1,882.68,525.68,86
2024-07-11,1,886.96,500.0,86
2024-07-12,1,862.04,500.0,87
2024-07-13,1,865.51,500.0,87
2024-07-14,1,873.21,500.0,87
2024-07-15,1,855.54,500.0,90
